timestamp,level,cmdb_id,failure_type,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25,Top26,Top27,Top28,Top29,Top30,Top31,Top32,Top33,Top34,Top35,Top36,Top37,Top38,Top39,Top40,Top41,Top42,Top43,Top44,Top45,Top46
1651858208,service,productcatalogservice,Kubernetes Container Network Resource Packet Corruption,productcatalogservice-2:0.5065587671601187,productcatalogservice-1:0.5029574113981382,productcatalogservice-0:0.48043455135380947,frontend-1:0.44846019881754423,productcatalogservice2-0:0.4291588214186968,frontend-0:0.428084929674605,frontend-2:0.4243237457531623,shippingservice2-0:0.38074200109620876,checkoutservice-2:0.37078890905196715,currencyservice2-0:0.3667302465006914,frontend2-0:0.361883759751321,shippingservice-2:0.3545642352814217,checkoutservice-0:0.34171298767274183,checkoutservice-1:0.33462820174078733,paymentservice-0:0.31295900008953226,recommendationservice2-0:0.30946469159106343,paymentservice-1:0.3079189461376776,emailservice2-0:0.30675509925278793,shippingservice-0:0.3047381952049855,paymentservice2-0:0.3037046952387385,shippingservice-1:0.2944940485962725,recommendationservice-1:0.2833351643411207,emailservice-2:0.2678789072123869,paymentservice-2:0.26596111760557983,checkoutservice2-0:0.2401235776909009,emailservice-1:0.23907460756041535,emailservice-0:0.2335856784736192,cartservice-2:0.2212659483893014,recommendationservice-2:0.21935737572319627,recommendationservice-0:0.2041085444134965,currencyservice-1:0.19372378335765264,adservice-0:0.15124087230191538,currencyservice-2:0.14121688649951766,currencyservice-0:0.1355381685733,adservice-2:0.12371468177850427,adservice2-0:0.12226664796632843,cartservice2-0:0.10835907790140305,adservice-1:0.10812413639244016,node-5:0.09541210097208545,node-3:0.09384315421198032,node-6:0.08283586947228451,cartservice-1:0.08012796113886299,node-4:0.07184714546237808,cartservice-0:0.06635293511262318,node-2:0.03660644950182162,node-1:0.02888067043036392
1651859583,pod,frontend-2,Kubernetes Container Write I/O Load,frontend2-0:0.45562280520779774,productcatalogservice2-0:0.45014851256058735,cartservice-1:0.3986147390894134,currencyservice2-0:0.3823861699788043,shippingservice2-0:0.3579123015811743,frontend-0:0.34843696278316255,productcatalogservice-0:0.34699272852042357,adservice-2:0.3249803448671181,adservice2-0:0.3226798072995875,frontend-2:0.3087863576006327,shippingservice-1:0.3076700097096466,cartservice2-0:0.3044303885349195,productcatalogservice-2:0.30139989514652193,adservice-0:0.29755883828273993,checkoutservice-1:0.2938951478801775,paymentservice2-0:0.2906821401245066,paymentservice-0:0.2874554545636374,productcatalogservice-1:0.28367363325192063,recommendationservice-2:0.278519328101191,currencyservice-0:0.2751654765963852,adservice-1:0.2730852297780209,checkoutservice-2:0.27249086978751585,cartservice-0:0.2663183318675356,node-3:0.26271122661158536,shippingservice-0:0.2600723925159457,shippingservice-2:0.2591882076272665,checkoutservice-0:0.25045187183635526,currencyservice-1:0.2442792834727057,paymentservice-2:0.24414532497319338,checkoutservice2-0:0.24348886060815852,emailservice2-0:0.24116209355304233,cartservice-2:0.22704788658969896,frontend-1:0.22598330019523113,node-5:0.21929353332346882,currencyservice-2:0.21797238631527893,recommendationservice-1:0.20228838399858598,paymentservice-1:0.19129279779635697,node-4:0.18896197992479224,node-6:0.17337171462724754,emailservice-2:0.16812920119439498,recommendationservice-0:0.1635758763956549,recommendationservice2-0:0.12883666481178718,emailservice-1:0.1251179845418765,emailservice-0:0.1142416248256851,node-1:0.09646341727556347,node-2:0.04369949263584824
1651860249,node,node-2,Node Disk Space Consumption,node-2:0.49991454043890465,node-6:0.37692261685139145,node-5:0.2970400727934425,currencyservice2-0:0.2679507977582894,node-4:0.2576493001800498,shippingservice2-0:0.23951350521995274,emailservice2-0:0.2239495589107937,adservice-2:0.2167910767116954,frontend2-0:0.21479409252229978,paymentservice2-0:0.2086936918029889,node-1:0.2075349029258363,shippingservice-0:0.20513040207361552,currencyservice-1:0.20392999722606833,recommendationservice-0:0.19527751358978315,productcatalogservice-2:0.19311865360801164,shippingservice-1:0.19224716426724384,productcatalogservice-0:0.19036818049307366,shippingservice-2:0.1846305230833002,checkoutservice-2:0.1845213119445828,recommendationservice-1:0.18434848904622073,cartservice-2:0.1818089547771777,currencyservice-2:0.17818852822301248,paymentservice-2:0.1762502451780464,node-3:0.17416431787720277,cartservice2-0:0.17172773974810526,productcatalogservice2-0:0.17018085289442428,adservice2-0:0.16893434816889988,checkoutservice-1:0.16695763936626787,currencyservice-0:0.1668807477816556,frontend-1:0.15306710354262093,paymentservice-0:0.14931097502321913,cartservice-1:0.14698342912468357,paymentservice-1:0.14357666029083294,adservice-0:0.14054812101057404,checkoutservice-0:0.1377123381843864,productcatalogservice-1:0.13733905414946604,adservice-1:0.13469065512942968,recommendationservice-2:0.13222435569065497,frontend-0:0.13126615249831566,recommendationservice2-0:0.1311971394319066,emailservice-1:0.1210893920393471,frontend-2:0.12089051377466871,checkoutservice2-0:0.1204390290302443,emailservice-2:0.11655461093200485,cartservice-0:0.11345861269590145,emailservice-0:0.05714602616257217
1651863211,service,emailservice,Kubernetes Container Network Packet Loss,emailservice-0:0.6840837455141314,emailservice-1:0.5181904171229094,shippingservice2-0:0.48237539729937867,emailservice-2:0.46235421972976054,currencyservice-0:0.3699703675785106,emailservice2-0:0.36746244215603346,currencyservice2-0:0.36686279486740564,cartservice-1:0.36184399275356,productcatalogservice-0:0.35903900415476975,shippingservice-0:0.31310307855307046,checkoutservice-1:0.29558928861016637,currencyservice-1:0.28812784606600467,productcatalogservice2-0:0.28802933205988124,shippingservice-1:0.2811955309082803,cartservice-0:0.26228573415701845,adservice-0:0.2544955760615281,checkoutservice-0:0.25301247449388903,paymentservice-0:0.25236581410605713,paymentservice-1:0.2438995781800817,paymentservice2-0:0.24288114685209852,checkoutservice-2:0.2357311022289487,frontend-1:0.23347232563025389,cartservice-2:0.23294104338313856,adservice-2:0.23015533811151667,shippingservice-2:0.21730571364268927,checkoutservice2-0:0.21313204576938702,adservice2-0:0.20774112781176757,productcatalogservice-2:0.20622360311712437,paymentservice-2:0.19999336146730226,productcatalogservice-1:0.1771105307423734,recommendationservice-1:0.176512051718362,recommendationservice-2:0.17229388024193026,frontend2-0:0.17040806919154558,currencyservice-2:0.16980887185290802,adservice-1:0.1615980677424085,recommendationservice-0:0.13897633287337854,cartservice2-0:0.13066715978638402,frontend-0:0.1213827686654093,frontend-2:0.09398382149031055,recommendationservice2-0:0.09074118297096921,node-3:0.04453293226900885,node-4:0.0073485341789742585,node-5:0.006627015949626403,node-2:0.004475540555051456,node-1:0.004118198471657981,node-6:0.002154526387982914
1651863857,node,node-6,Node Disk Write I/O Consumption,node-6:0.688451320613419,node-2:0.44730783282001546,node-1:0.42465302035208197,node-4:0.37614222754932514,node-3:0.3534684467393728,node-5:0.25110489813525766,recommendationservice-2:0.10551054037367756,checkoutservice-0:0.075253342817353,checkoutservice-1:0.07011644481363238,frontend-0:0.064736753630218,emailservice2-0:0.052357400238191326,paymentservice-0:0.042374442042051784,paymentservice-1:0.040352012206086425,currencyservice-2:0.03963880455814129,checkoutservice-2:0.03937230843652328,frontend-2:0.03929068661432337,productcatalogservice-2:0.038213802466233654,shippingservice-2:0.03597028593574927,currencyservice-0:0.03490060017287946,cartservice2-0:0.03486150183912453,recommendationservice-0:0.0343396592403681,productcatalogservice-1:0.034245422419413724,emailservice-2:0.032863783067211785,paymentservice2-0:0.02935125795465472,adservice2-0:0.028222518466468408,recommendationservice2-0:0.02709401521985408,checkoutservice2-0:0.02611695343839743,adservice-2:0.025674376988705158,emailservice-0:0.02348485693397517,shippingservice2-0:0.022347397073848155,adservice-1:0.022166660354904822,cartservice-0:0.021445933140380766,shippingservice-1:0.021345039297749783,currencyservice-1:0.020078615318422876,recommendationservice-1:0.01874304698487465,cartservice-1:0.01862585721754102,emailservice-1:0.017941155023916636,frontend-1:0.017908844143163613,paymentservice-2:0.017798530274678846,shippingservice-0:0.017583707947840952,cartservice-2:0.01704893258317002,adservice-0:0.016854744835123538,productcatalogservice-0:0.015525450746108838,currencyservice2-0:0.013056472763575322,frontend2-0:0.012535729927518452,productcatalogservice2-0:0.012384294222149652
1651867434,node,node-5,Node Disk Space Consumption,node-5:0.5527756579408499,node-3:0.5242984908605249,node-2:0.4971413469824326,node-6:0.475164707063594,node-4:0.47451745198027645,node-1:0.3503763607820772,frontend-1:0.11619365867506502,productcatalogservice-2:0.10656363022841613,frontend-2:0.1054604009748424,adservice-2:0.1049691201246784,currencyservice-1:0.10370597502091056,shippingservice-1:0.10211691488963225,checkoutservice2-0:0.10182289479559165,cartservice-0:0.10021108994765349,shippingservice-0:0.09899178305085159,cartservice-1:0.09827477293750246,productcatalogservice-1:0.09772057277833725,adservice-1:0.09560505013680952,adservice-0:0.09331425466194194,currencyservice-0:0.09132938762037135,productcatalogservice-0:0.08885446294007297,emailservice-1:0.08642083167876291,checkoutservice-1:0.08564633589585456,paymentservice2-0:0.08109131183184261,shippingservice-2:0.08066816758996354,emailservice-0:0.07964740009437629,cartservice-2:0.07855401898224441,checkoutservice-0:0.07684521515415706,adservice2-0:0.07577419787440186,checkoutservice-2:0.07392034237960686,shippingservice2-0:0.07188090394714292,currencyservice-2:0.07131126358389643,recommendationservice2-0:0.07043971998427208,recommendationservice-2:0.07032882949891678,emailservice-2:0.06988002880038091,cartservice2-0:0.06976265313906253,recommendationservice-1:0.06776416437887929,recommendationservice-0:0.06642196285323612,productcatalogservice2-0:0.0659998582499719,paymentservice-2:0.05943260263586921,paymentservice-1:0.057430396711394584,emailservice2-0:0.057280368567447754,frontend2-0:0.052772779384889314,paymentservice-0:0.052683458929872314,currencyservice2-0:0.052655192928486305,frontend-0:0.05191239616774763
1651870394,pod,productcatalogservice-2,Kubernetes Container Network Latency,productcatalogservice-2:0.8671959428309854,frontend-2:0.6454833341337541,frontend-1:0.6423046646453816,frontend-0:0.6032913904269097,recommendationservice-0:0.5766609613136656,recommendationservice-2:0.5748567674194988,recommendationservice-1:0.5609695880308255,emailservice-1:0.5595454527432646,checkoutservice-2:0.5404342257956742,checkoutservice-0:0.5207809687523689,checkoutservice-1:0.51903067320579,adservice-2:0.507375524071471,emailservice-2:0.4676600183987991,adservice-1:0.4643906365198076,adservice-0:0.4248555645940548,productcatalogservice-0:0.4034415176388863,paymentservice-2:0.3985278328947235,productcatalogservice-1:0.392415209883136,shippingservice-1:0.3385037514446149,paymentservice-1:0.33332169740619083,paymentservice-0:0.3287132742563333,emailservice-0:0.31063325061072716,shippingservice-2:0.31023311995511954,currencyservice-0:0.3051233175100451,currencyservice-2:0.28390161529350294,shippingservice-0:0.27624846636409833,cartservice-1:0.2734144721650912,cartservice-2:0.2727505796276294,currencyservice-1:0.2578305653020277,node-3:0.18413356281868062,cartservice-0:0.1748408094009127,node-5:0.17368107365406923,cartservice2-0:0.1289387641960828,paymentservice2-0:0.12159220254324304,node-6:0.12137722187403695,node-2:0.10525377507629043,currencyservice2-0:0.10222000785578088,frontend2-0:0.09871412533033436,adservice2-0:0.09686826841331464,checkoutservice2-0:0.08939318573169092,shippingservice2-0:0.08860055553345647,emailservice2-0:0.08850172153180806,recommendationservice2-0:0.08330124027297937,node-4:0.08076666107170646,productcatalogservice2-0:0.07724005786490962,node-1:0.05217853967691918
1651872135,node,node-5,Node Memory Consumption,node-5:0.42318459355036814,node-4:0.3392221899715104,emailservice-0:0.3345861513549743,shippingservice-1:0.3010139403267053,frontend-2:0.29766837283587516,productcatalogservice-1:0.2953057280316194,frontend-1:0.2911972067955191,productcatalogservice-0:0.26333896307257537,adservice-0:0.24535436979717404,recommendationservice-1:0.24261900207927337,currencyservice-1:0.23391305751410305,shippingservice-0:0.23316049221196614,adservice-2:0.22537165207542142,checkoutservice-0:0.22284379289928893,currencyservice2-0:0.22283793004559263,recommendationservice-0:0.21875487954270845,cartservice-1:0.21166316648035524,currencyservice-0:0.2112592310387634,productcatalogservice-2:0.20962795374504561,checkoutservice-2:0.2033841822001616,cartservice-0:0.20335474289891634,productcatalogservice2-0:0.20128675632713378,shippingservice2-0:0.19775564308913116,emailservice-2:0.19488837581288584,node-1:0.1882784142871489,paymentservice2-0:0.17988220064015195,emailservice-1:0.17499700369069018,checkoutservice2-0:0.1720946672621121,shippingservice-2:0.16542690793817963,adservice-1:0.159248381436406,cartservice-2:0.15877898865443854,checkoutservice-1:0.15685991747305014,cartservice2-0:0.1525481640280331,recommendationservice-2:0.14315958988523456,currencyservice-2:0.14087249528372853,paymentservice-1:0.1380673983254638,frontend-0:0.13546998211301142,emailservice2-0:0.13074558208646664,node-3:0.12907373725693175,frontend2-0:0.11955990397265058,paymentservice-0:0.1151928433667236,adservice2-0:0.11411622382260384,recommendationservice2-0:0.1101248528671338,paymentservice-2:0.10937949228704341,node-6:0.08918330652219603,node-2:0.07139871575212837
1651875390,node,node-1,Node Disk Space Consumption,node-1:0.6501344701512192,node-2:0.34730165815132463,node-6:0.3054052230512588,adservice-1:0.2815013532190631,currencyservice-1:0.26382333338447456,recommendationservice-2:0.26024513930373205,node-5:0.25580782241350697,adservice-2:0.25319318118888695,cartservice-2:0.2504794447651289,paymentservice2-0:0.24380301742179833,shippingservice2-0:0.24190707022106114,currencyservice-2:0.24153302020406398,recommendationservice-0:0.24077343033905338,productcatalogservice-0:0.23843089080514512,shippingservice-2:0.2358683278949877,paymentservice-0:0.23430198939217858,emailservice2-0:0.22994232248152668,cartservice-1:0.22241658129125433,cartservice2-0:0.21960873472379502,shippingservice-1:0.21903224220558148,paymentservice-2:0.21602772769510223,cartservice-0:0.21519215302818548,productcatalogservice-1:0.21484854396672629,emailservice-2:0.21121075853729088,node-4:0.21119821669438302,checkoutservice-1:0.19882900881203716,node-3:0.19673793915868332,currencyservice2-0:0.19669656101744684,emailservice-0:0.1912271451987225,recommendationservice-1:0.18851488147521575,currencyservice-0:0.1840235303320467,shippingservice-0:0.17778047736941663,productcatalogservice-2:0.1737817330502843,checkoutservice2-0:0.17174062075210494,frontend-0:0.1660908120861662,adservice2-0:0.16240159480359864,frontend2-0:0.16157854382501,recommendationservice2-0:0.15978266678630765,productcatalogservice2-0:0.15948001009628554,frontend-2:0.15430060129617995,checkoutservice-2:0.1430066758700719,checkoutservice-0:0.13973417621344367,paymentservice-1:0.13702089011158766,adservice-0:0.12407177037838979,frontend-1:0.12183583713546059,emailservice-1:0.1192497611826747
1651876445,service,frontend,Kubernetes Container Read I/O Load,frontend-1:0.7932279862392408,frontend2-0:0.781969196660759,frontend-0:0.781596256197156,frontend-2:0.7758834246565041,currencyservice2-0:0.5735647420552911,productcatalogservice2-0:0.5511942861624777,shippingservice2-0:0.5138413515275476,cartservice2-0:0.5043134394877334,cartservice-2:0.4957276138190423,cartservice-0:0.4921916123675308,currencyservice-1:0.4724755727829513,paymentservice2-0:0.4298903408932502,currencyservice-0:0.42764623309069955,productcatalogservice-0:0.4173544903819388,recommendationservice-1:0.3978646460101105,recommendationservice2-0:0.3799338687179823,productcatalogservice-2:0.3778311154903285,emailservice-2:0.3761038980694629,currencyservice-2:0.368134062123093,checkoutservice-1:0.36572311950153386,emailservice-1:0.3575214833491877,cartservice-1:0.35529776209286795,checkoutservice-0:0.3552818093860924,emailservice-0:0.3534316356032888,paymentservice-2:0.35327713932382593,recommendationservice-0:0.3468577109535837,checkoutservice-2:0.2843226668517685,paymentservice-1:0.26208860112248894,adservice2-0:0.2561295541166928,recommendationservice-2:0.25356089627760586,emailservice2-0:0.22386308483386574,shippingservice-0:0.22322400620267313,shippingservice-1:0.19618216583247614,adservice-0:0.19235097043287488,adservice-1:0.18450875795525046,paymentservice-0:0.1842955538563392,checkoutservice2-0:0.16265875865719542,adservice-2:0.15616128419915787,productcatalogservice-1:0.13351301942300273,shippingservice-2:0.09922702455109093,node-6:0.008112488310745349,node-5:0.0031979625469909794,node-3:0.0027565523871309777,node-4:0.0004582911078461446,node-2:5.5117443238166115e-05,node-1:3.022297750393635e-05
